date,omo,fx,OMO_z,FX_z,LPI_components,LPI
2019-01-14,-732.4,,0.31738450045356226,,1,
2019-01-15,15.9,,0.20853632409969483,,1,
2019-01-16,2000.09,,-0.10950428595035507,,1,
2019-01-17,-812.9,,0.26900646397858435,,1,
2019-01-18,4491.6,,-0.604916315722367,,1,
2019-01-21,8767.2,,-1.2834587031742584,,1,
2019-01-22,4330.1,,-0.5780770895229,,1,
2019-01-23,1550.21,,-0.10236797744627249,,1,
2019-01-24,12045.7,,-1.7764125670651554,,1,
2019-01-25,20827.6,,-2.9132814505821085,,1,
2019-01-28,,,,,0,
2019-01-29,,,,,0,
2019-01-30,,,,,0,
2019-01-31,,,,,0,
2019-02-01,,,,,0,
2019-02-04,,,,,0,
2019-02-05,,,,,0,
2019-02-06,,,,,0,
2019-02-07,,,,,0,
2019-02-08,,,,,0,
2019-02-11,,,,,0,
2019-02-12,-16278.9,,2.408519863990561,,1,
2019-02-13,-1043.7,,0.29639598532274847,,1,
2019-02-14,-3035.2,,0.545489131577285,,1,
2019-02-15,-33217.7,,3.7858855581331974,,1,
2019-02-18,-33723.3,,3.274065279448551,,1,
2019-02-19,-12565.6,,1.1606677019666645,,1,
2019-02-20,-8675.9,,0.775869902238573,,1,
2019-02-21,-15986.5,,1.437435200567607,,1,
2019-02-22,-1428.5,,0.045120042951903964,,1,
2019-02-25,-1463.8,,0.028722370546060062,,1,
2019-02-26,-1256.3,,-0.001957793494599823,,1,
2019-02-27,-2676.8,,0.11597707031148864,,1,
2019-02-28,-2312.8,,0.06300699768985707,,1,
2019-03-01,-2000.0,,0.029929984594074237,,1,
2019-03-04,-671.8,,-0.10086076799089472,,1,
2019-03-05,-1227.6,,-0.04066061685029996,,1,
2019-03-06,5.8,,-0.1501499974006466,,1,
2019-03-07,-1116.9,,-0.03958188731915321,,1,
2019-03-08,-2000.0,,0.03713122813488185,,1,
2019-03-11,-2521.1,,0.07979712923863871,,1,
2019-03-12,-928.8,,-0.08743542975842972,,1,
2019-03-13,-5107.1,,0.30193327121944996,,1,
2019-03-14,-5816.6,,0.34247055812075883,,1,
2019-03-15,-8999.8,,0.6418294236131892,,1,
2019-03-18,-10789.3,,0.7927510446243743,,1,
2019-03-19,-6115.0,,0.3265651305476278,,1,
2019-03-20,-5234.7,,0.22467681118666943,,1,
2019-03-21,-3671.9,,0.056014696002052916,,1,
2019-03-22,451.9,,-0.43652220530925256,,1,
2019-03-25,6899.7,,-1.106999149945437,,1,
2019-03-26,6106.6,,-0.9999088069179822,,1,
2019-03-27,9241.6,,-1.2833597485278863,,1,
2019-03-28,4909.9,,-0.8007285385112016,,1,
2019-03-29,4348.0,,-0.7085657527865662,,1,
2019-04-01,-3805.4,,0.15391190863298398,,1,
2019-04-02,-2091.5,,-0.02983911098425941,,1,
2019-04-03,-5405.2,,0.31286498061227047,,1,
2019-04-04,-3337.9,,0.08459991839746711,,1,
2019-04-05,1100.0,,-0.38336861085446616,,1,
2019-04-08,2805.4,,-0.5591868349683018,,1,
2019-04-09,1000.0,,-0.3611478864195823,,1,
2019-04-10,4600.1,,-0.7425652894817457,,1,
2019-04-11,3100.1,,-0.5702818951499453,,1,
2019-04-12,-4899.9,,0.2707671213142999,,1,
2019-04-15,,,,,0,
2019-04-16,-4899.8,,0.22730716886356211,,1,
2019-04-17,999.9,,-0.41867448089344306,,1,
2019-04-18,2999.9,,-0.6742782640686084,,1,
2019-04-19,4999.9,,-1.0062366201091264,,1,
2019-04-22,,,,,0,
2019-04-23,-4999.8,,0.1969267633973616,,1,
2019-04-24,-9999.6,,0.7925028667084753,,1,
2019-04-25,-14999.6,,1.3633825711462906,,1,
2019-04-26,-14694.0,,1.291717056570937,,1,
2019-04-29,,,,,0,
2019-04-30,,,,,0,
2019-05-01,,,,,0,
2019-05-02,111.0,,-0.482689792956609,,1,
2019-05-03,98.4,,-0.47573410199739335,,1,
2019-05-06,,,,,0,
2019-05-07,9999.6,,-1.6195303225009898,,1,
2019-05-08,812.6,,-0.4969566905999342,,1,
2019-05-09,7288.6,,-1.2414318875330945,,1,
2019-05-10,5495.6,,-1.0744655006896566,,1,
2019-05-13,-2927.15,,0.1910854687029538,,1,
2019-05-14,-10000.0,,1.4181444205354086,,1,
2019-05-15,-5613.0,,0.6797994281082954,,1,
2019-05-16,-3600.0,,0.3936535065704571,,1,
2019-05-17,-600.0,,-0.15723053130171114,,1,
2019-05-20,-4772.85,,0.5994404532760466,,1,
2019-05-21,350.0,,-0.33683182489025115,,1,
2019-05-22,2800.3,,-0.7643587131129312,,1,
2019-05-23,5900.0,,-1.2826362405758513,,1,
2019-05-24,630.0,,-0.3255706841959854,,1,
2019-05-27,-4100.0,,0.5119448412232759,,1,
2019-05-28,-5349.6,,0.7187198975089943,,1,
2019-05-29,-6000.3,,0.8102457666289149,,1,
2019-05-30,-14699.5,,2.198827613171069,,1,
2019-05-31,-10929.7,,1.5005048203617046,,1,
2019-06-03,1800.1,,-0.587924764868285,,1,
2019-06-04,1999.9,,-0.6098226862223767,,1,
2019-06-05,5000.2,,-1.0630822201561199,,1,
2019-06-06,2549.5,,-0.6392490821441538,,1,
2019-06-07,2999.7,,-0.6835882355298889,,1,
2019-06-10,-2800.1,,0.30320787226148305,,1,
2019-06-11,6000.0,,-1.1373422764599095,,1,
2019-06-12,-0.1,,-0.11492843686201686,,1,
2019-06-13,2450.3,,-0.5091077666507295,,1,
2019-06-14,0.4,,-0.09731386264030636,,1,
